====================================================================================================================
Europe Trip2 2002 - Log Book Transcript
====================================================================================================================
--------------------------------------------------------------------------------------------------------------------
Date			Day	City			KM	CumKM	Note
July 25,26		154	Bodo			0	6985	Bodosjoen Camping
July 27			156	Misvaer			72	7057	Misvaer Camping
July 28			157	Lonsstua		79	7136	Free Camp
July 29			158	Krokstranda		42	7178	Krokstranda Camping
July 30			159	Maela			96	7274	Mini-Camp
July 31,Aug 1		160	Sandnessjoen		77	7351	Stein Camping
Aug 2			162	Holm			105	7456	Holm Camping
Aug 3			163	Flatt			88	7544	Flatt Camping
Aug 4			164	Namdalseid		102	7646	Free Camp
Aug 5			165	Rissa			102	7748	Rissa Camping
Aug 6			166	Otta			31	7779	Otta Camping
Aug 7			167	Boverdalen		86	7865	Lermoen Camping
Aug 8			168	Sygnefjell		38	7903	Free Camp
Aug 9,10		169	Skjolden		36	7939	Camping Bolstad
Aug 11			171	Sogndal			53	7992	Stedje Camping
Aug 12			172	Bregen			0	7992	Paradis Camping
Aug 13,14,15		173	Lerwick, Shetland, UK	0	7992	Lerwick Camping
Aug 16,17		176	Kirkwall, Orkney, UK	0	7992	Kirkwall Camping
Aug 18			178	Thurso			67	8059	Scrabster Rd Caravan Park
Aug 19			179	Inverness		0	8059	?
Aug 20,21		180	Dalston			8	8067	Dalston Hall Camping
Aug 22			182	Patterdale		51	8118	Side Farm Camp
Aug 23			183	Sedbergh		58	8176	Holme Farm Camp
Aug 24			184	Ingleton		29	8205	S Farm Camp
Aug 25			185	Heptonstall Moor	70	8275	High Greenwood House
Aug 26,27		186	Furness Vale		32	8307	Ringstones Caravan Park
Aug 28			188	Longnor			29	8336	Longnor Wood Caravan Park
Aug 29			189	Trentham		59	8395	Trentham Gardens
Aug 30			190	Barton-under-Needwood	34	8429	Pub 'The Cottage'
Aug 31			191	Broadway		24	8453	Hayway Farm
Sept 1			192	Birdlip			46	8499	Farm
Sept 2			193	Lacock			67	8566	Piccadilly Caravan Park
